,name,B19013001
454,33134,68868.0
455,33135,27857.0
456,33136,26336.0
457,33137,63650.0
458,33138,51262.0
459,33139,53327.0
460,33140,76960.0
461,33141,49861.0
462,33142,26424.0
463,33143,67042.0
464,33144,48632.0
465,33145,54288.0
466,33146,117500.0
467,33147,32808.0
468,33149,151190.0
469,33150,29782.0
470,33154,76690.0
471,33155,68699.0
472,33156,117491.0
473,33157,65099.0
474,33158,170673.0
475,33160,51790.0
476,33161,40093.0
477,33162,45080.0
478,33165,53998.0
479,33166,54362.0
480,33167,37474.0
481,33168,48894.0
482,33169,45711.0
483,33170,45929.0
484,33172,50139.0
485,33173,68382.0
486,33174,51442.0
487,33175,58945.0
488,33176,72998.0
489,33177,61033.0
490,33178,79707.0
491,33179,49016.0
492,33180,74091.0
493,33181,46139.0
494,33182,80213.0
495,33183,59797.0
496,33184,53480.0
497,33185,89327.0
498,33186,70529.0
499,33187,80629.0
500,33189,58190.0
501,33190,64332.0
502,33193,63337.0
503,33194,118125.0
504,33196,76787.0
505,33301,99382.0
506,33304,58290.0
507,33305,74095.0
508,33306,71357.0
509,33308,64792.0
510,33309,55134.0
511,33311,36649.0
512,33312,58144.0
513,33313,38201.0
514,33314,51635.0
515,33315,76507.0
516,33316,67477.0
517,33317,67878.0
518,33319,44993.0
519,33321,49784.0
520,33322,48179.0
521,33323,88946.0
522,33324,70461.0
523,33325,82805.0
524,33326,93197.0
525,33327,117906.0
526,33328,92227.0
527,33330,130208.0
528,33331,125608.0
529,33332,139984.0
530,33334,52303.0
531,33351,60848.0
532,33401,50824.0
533,33403,58371.0
534,33404,44165.0
535,33405,55000.0
536,33406,62785.0
537,33407,45093.0
538,33408,76030.0
539,33409,49641.0
540,33410,76371.0
541,33411,75019.0
542,33412,101196.0
543,33413,64714.0
544,33414,86553.0
545,33415,43567.0
546,33417,37924.0
547,33418,96311.0
548,33426,61239.0
549,33428,71239.0
550,33430,24615.0
551,33431,81381.0
552,33432,77250.0
553,33433,63774.0
554,33434,60457.0
555,33435,52210.0
556,33436,60422.0
557,33437,64612.0
558,33438,58750.0
559,33440,40883.0
560,33441,48778.0
561,33442,49599.0
562,33444,56722.0
563,33445,55274.0
564,33446,57383.0
565,33449,124107.0
566,33455,56987.0
567,33458,85811.0
568,33460,42329.0
569,33461,44107.0
570,33462,53428.0
571,33463,54417.0
572,33467,71821.0
573,33469,82443.0
574,33470,85648.0
575,33471,40074.0
576,33472,76543.0
577,33473,145245.0
578,33476,22199.0
579,33477,81883.0
580,33478,109847.0
581,33480,116901.0
582,33483,90280.0
583,33484,45200.0
584,33486,80970.0
585,33487,76786.0
586,33493,31850.0
587,33496,94816.0
588,33498,107242.0
590,33510,59061.0
591,33511,59862.0
592,33513,39758.0
593,33514,40994.0
594,33521,31167.0
595,33523,48365.0
596,33525,55103.0
597,33527,62171.0
598,33534,54125.0
599,33538,36953.0
600,33540,35812.0
601,33541,41681.0
602,33542,35095.0
603,33543,85855.0
604,33544,84122.0
605,33545,81687.0
606,33547,107489.0
607,33548,111841.0
608,33549,73251.0
609,33556,103983.0
610,33558,82928.0
611,33559,68895.0
612,33563,46554.0
613,33565,53606.0
614,33566,65064.0
615,33567,60170.0
616,33569,70583.0
617,33570,51429.0
618,33572,88654.0
619,33573,48644.0
620,33576,63433.0
621,33578,64181.0
622,33579,85033.0
623,33584,62004.0
624,33585,51326.0
625,33592,42308.0
626,33594,64854.0
627,33596,98993.0
628,33597,45335.0
629,33598,66961.0
630,33602,72824.0
631,33603,48197.0
632,33604,43094.0
633,33605,25855.0
634,33606,80878.0
635,33607,44806.0
636,33609,71225.0
637,33610,36742.0
638,33611,67421.0
639,33612,32200.0
640,33613,34932.0
641,33614,41954.0
642,33615,51672.0
643,33616,63074.0
644,33617,39700.0
645,33618,70605.0
646,33619,44085.0
648,33621,72428.0
649,33624,69910.0
650,33625,68634.0
651,33626,107269.0
652,33629,128248.0
653,33634,57423.0
654,33635,63899.0
655,33637,52004.0
656,33647,88649.0
657,33701,39251.0
658,33702,53243.0
659,33703,77953.0
660,33704,83031.0
661,33705,50637.0
662,33706,75636.0
663,33707,51279.0
664,33708,62924.0
665,33709,42111.0
666,33710,60463.0
667,33711,46628.0
668,33712,47690.0
669,33713,56999.0
670,33714,38245.0
671,33715,91386.0
672,33716,56867.0
674,33755,39406.0
675,33756,44271.0
676,33759,52344.0
677,33760,52465.0
678,33761,54151.0
679,33762,68411.0
680,33763,44790.0
681,33764,52760.0
682,33765,46297.0
683,33767,83770.0
684,33770,46355.0
685,33771,42528.0
686,33772,55200.0
687,33773,52884.0
688,33774,55394.0
689,33776,80703.0
690,33777,65207.0
691,33778,50150.0
692,33781,42936.0
693,33782,54063.0
694,33785,72222.0
695,33786,85500.0
696,33801,36031.0
697,33803,52832.0
698,33805,34525.0
699,33809,54465.0
700,33810,58285.0
701,33811,62678.0
702,33812,79688.0
703,33813,83521.0
704,33815,32193.0
705,33823,50309.0
706,33825,38579.0
707,33827,62631.0
708,33830,51083.0
709,33834,48471.0
710,33837,57337.0
711,33838,38899.0
712,33839,50335.0
713,33841,43653.0
714,33843,42668.0
715,33844,41883.0
716,33847,65750.0
717,33848,55750.0
718,33849,45640.0
719,33850,48341.0
720,33851,48519.0
721,33852,39421.0
722,33853,37689.0
723,33854,33750.0
725,33856,27986.0
726,33857,28546.0
727,33859,43688.0
728,33860,51904.0
729,33865,57917.0
730,33867,39038.0
731,33868,51250.0
732,33870,32364.0
733,33872,46574.0
734,33873,37766.0
735,33875,54054.0
736,33876,51088.0
738,33880,44239.0
739,33881,40897.0
740,33884,60298.0
741,33890,36082.0
742,33896,63958.0
743,33897,60430.0
744,33898,45193.0
745,33901,38112.0
746,33903,43870.0
747,33904,51861.0
748,33905,51634.0
749,33907,42530.0
750,33908,59596.0
751,33909,60105.0
752,33912,77333.0
753,33913,85268.0
754,33914,65381.0
755,33916,36349.0
756,33917,49671.0
757,33919,56932.0
758,33920,78377.0
759,33921,101250.0
760,33922,47143.0
762,33928,79078.0
763,33930,52713.0
764,33931,64738.0
765,33935,39098.0
766,33936,38567.0
769,33946,93547.0
770,33947,53302.0
771,33948,47394.0
772,33950,57852.0
773,33952,42484.0
774,33953,56451.0
775,33954,60841.0
776,33955,65558.0
777,33956,51774.0
778,33957,108081.0
779,33960,39514.0
781,33966,64686.0
782,33967,67996.0
783,33971,53840.0
784,33972,62092.0
785,33973,42991.0
786,33974,49645.0
787,33976,50190.0
788,33980,46451.0
789,33981,55568.0
790,33982,49750.0
791,33983,58148.0
792,33990,59541.0
793,33991,69179.0
794,33993,67680.0
796,34102,85938.0
797,34103,95559.0
798,34104,53303.0
799,34105,87617.0
800,34108,100705.0
801,34109,72095.0
802,34110,78410.0
803,34112,57792.0
804,34113,57365.0
805,34114,60746.0
