geoid,name,B19013001,"B19013001, Error"
86000US32697,"32697",38036,27415
86000US32701,"32701",55137,3169
86000US32702,"32702",44470,7988
86000US32703,"32703",51257,2020
86000US32707,"32707",54941,2625
86000US32708,"32708",70469,3424
86000US32709,"32709",54911,21334
86000US32712,"32712",79252,5512
86000US32713,"32713",63594,8852
86000US32714,"32714",52626,2706
86000US32720,"32720",49195,4917
86000US32724,"32724",49722,2176
86000US32725,"32725",52577,2897
86000US32726,"32726",45405,3585
86000US32730,"32730",45288,6996
86000US32732,"32732",79087,27401
86000US32735,"32735",57680,7179
86000US32736,"32736",79327,12758
86000US32738,"32738",53961,2745
86000US32744,"32744",46307,4922
86000US32746,"32746",87581,4542
86000US32750,"32750",71585,5018
86000US32751,"32751",76108,5847
86000US32754,"32754",54336,4624
86000US32757,"32757",57106,4020
86000US32759,"32759",42500,7485
86000US32763,"32763",45590,4724
86000US32764,"32764",72148,14746
86000US32765,"32765",81459,2823
86000US32766,"32766",113471,12495
86000US32767,"32767",47869,15155
86000US32771,"32771",61983,5051
86000US32773,"32773",46353,3628
86000US32776,"32776",74113,13686
86000US32778,"32778",48441,3831
86000US32779,"32779",93635,3860
86000US32780,"32780",51632,3443
86000US32784,"32784",51519,3923
86000US32789,"32789",79759,7118
86000US32792,"32792",52220,2297
86000US32796,"32796",49165,4455
86000US32798,"32798",48086,5949
86000US32801,"32801",57266,8294
86000US32803,"32803",75474,4836
86000US32804,"32804",79707,7445
86000US32805,"32805",27530,3109
86000US32806,"32806",65987,4187
86000US32807,"32807",45989,2562
86000US32808,"32808",36913,2269
86000US32809,"32809",44479,3159
86000US32810,"32810",51355,4016
86000US32811,"32811",38768,2712
86000US32812,"32812",55131,3244
86000US32814,"32814",94581,17353
86000US32817,"32817",62421,4355
86000US32818,"32818",45795,2974
86000US32819,"32819",73088,5605
86000US32820,"32820",95089,6184
86000US32821,"32821",55965,3658
86000US32822,"32822",41350,1560
86000US32824,"32824",67303,6027
86000US32825,"32825",61236,4256
86000US32826,"32826",47462,4014
86000US32827,"32827",83125,11143
86000US32828,"32828",77284,5086
86000US32829,"32829",75563,7732
86000US32830,"32830",,
86000US32831,"32831",38875,4634
86000US32832,"32832",89673,10117
86000US32833,"32833",67554,10383
86000US32835,"32835",56927,2232
86000US32836,"32836",102714,14460
86000US32837,"32837",63339,2735
86000US32839,"32839",39993,2685
86000US32901,"32901",39809,3536
86000US32903,"32903",80181,7637
86000US32904,"32904",66086,4526
86000US32905,"32905",40583,4945
86000US32907,"32907",54951,2087
86000US32908,"32908",57816,13072
86000US32909,"32909",51226,1652
86000US32920,"32920",55156,5825
86000US32922,"32922",31850,4505
86000US32925,"32925",56591,12222
86000US32926,"32926",51896,3310
86000US32927,"32927",61633,6067
86000US32931,"32931",59874,5444
86000US32934,"32934",71891,6009
86000US32935,"32935",49611,3353
86000US32937,"32937",73702,6417
86000US32940,"32940",71812,8021
86000US32948,"32948",39852,10708
86000US32949,"32949",71094,18894
86000US32950,"32950",68425,8539
86000US32951,"32951",74143,5969
86000US32952,"32952",75256,2575
86000US32953,"32953",62310,3150
86000US32955,"32955",73167,3678
86000US32958,"32958",53607,3347
86000US32960,"32960",40529,3035
86000US32962,"32962",48841,2979
86000US32963,"32963",112755,16495
86000US32966,"32966",50172,3505
86000US32967,"32967",51625,5243
86000US32968,"32968",78948,4777
86000US32970,"32970",13375,5711
86000US32976,"32976",37577,3314
86000US33001,"33001",50216,11514
86000US33004,"33004",42469,7707
86000US33009,"33009",38665,1880
86000US33010,"33010",30000,2292
86000US33012,"33012",31320,1548
86000US33013,"33013",36280,2578
86000US33014,"33014",42700,2924
86000US33015,"33015",53046,2252
86000US33016,"33016",49526,3721
86000US33018,"33018",66889,4409
86000US33019,"33019",80000,8200
86000US33020,"33020",43494,3115
86000US33021,"33021",60289,3133
86000US33023,"33023",52783,1647
86000US33024,"33024",61470,2485
86000US33025,"33025",58483,3778
86000US33026,"33026",80232,5416
86000US33027,"33027",63414,6782
86000US33028,"33028",104271,4409
86000US33029,"33029",113082,7159
86000US33030,"33030",39925,3584
86000US33031,"33031",78547,13762
86000US33032,"33032",54420,4101
86000US33033,"33033",49485,3129
86000US33034,"33034",35529,4380
86000US33035,"33035",70608,3893
86000US33036,"33036",83261,4629
86000US33037,"33037",67917,6585
86000US33039,"33039",72500,34982
86000US33040,"33040",69702,2785
