,Zip_Code,Date_Code,Testing_Total_Sales,Testing_FHA_Count,Testing_Sale_Price,Total_Sales_Prediction,FHA_Count_Prediction,Sale_Price_Prediction,Total_ Sales_RMSLE,FHA_Count_RMSLE,Sale_Price_RMSLE
638,32608,202103.0,58.0,4.0,166500.0,85.86085220026507,3.8756729619490216,210812.52781323344,0.32932304261669837,0.25145159178441434,0.2258368684686368
639,32608,202104.0,0.0,0.0,0.0,86.66144693373644,3.8509002247014905,210474.4302374348,,,
640,32609,202101.0,17.0,3.0,120000.0,25.105793511546835,6.140325577843669,153584.94312695414,0.2945166260381151,0.3524791262240949,0.17396700686159602
641,32609,202102.0,17.0,3.0,145000.0,24.51853755489401,3.1850975971108255,146612.50052155927,0.2945166260381151,0.3524791262240949,0.17396700686159602
642,32609,202103.0,24.0,5.0,173250.0,23.674873676203788,3.9775838378498065,145789.50865701213,0.2945166260381151,0.3524791262240949,0.17396700686159602
643,32609,202104.0,0.0,0.0,0.0,23.95621251397688,3.7013501603121313,145429.115167927,,,
644,32615,202101.0,19.0,4.0,203000.0,32.82387896287099,5.269333960967288,204837.1027647704,0.34679767836788866,0.38012321529466475,0.0706392909145101
645,32615,202102.0,21.0,2.0,199000.0,28.319678069172824,4.074354201592996,224244.2231939137,0.34679767836788866,0.38012321529466475,0.0706392909145101
646,32615,202103.0,29.0,6.0,215000.0,30.45097510021077,4.054324568157426,220442.58850337565,0.34679767836788866,0.38012321529466475,0.0706392909145101
647,32615,202104.0,0.0,0.0,0.0,30.07369260334241,4.027036139888878,223920.45617108047,,,
648,32617,202101.0,3.0,1.0,61857.0,6.735696457179131,0.983586613101382,219985.37511232495,0.5050433208513468,0.49713010121068424,0.912225769921816
649,32617,202102.0,4.0,0.0,189950.0,5.576719307885867,1.0198027037460609,239975.4938608855,0.5050433208513468,0.49713010121068424,0.912225769921816
650,32617,202104.0,0.0,0.0,0.0,5.854385928293823,0.9820606061535315,235788.23816157877,,,
651,32618,202102.0,8.0,3.0,241000.0,9.639873029504997,0.734494931340123,241644.01885426044,0.3544166844553133,0.5910448352033305,0.153924535718513
652,32618,202103.0,6.0,1.0,322500.0,10.227385074026188,0.9567821369150806,259416.94030672312,0.3544166844553133,0.5910448352033305,0.153924535718513
653,32618,202104.0,0.0,0.0,0.0,10.163245737048555,0.8151262669962307,265558.69808743894,,,
654,32619,202102.0,10.0,1.0,137750.0,5.148313058119584,1.9191341394656547,156216.03278832883,0.5094404522243436,0.3116627638590824,0.30183814555571803
655,32619,202103.0,7.0,2.0,162000.0,4.22991915052512,1.3920882051742396,107736.3771167472,0.5094404522243436,0.3116627638590824,0.30183814555571803
656,32619,202104.0,0.0,0.0,0.0,3.8379147782241034,1.0784701580166072,117255.07218297571,,,
