,zip,percent_total_points,letter_grade
274,33486,44,
275,33494,73,
276,33496,74,
277,33498,72,
278,33510,51,
279,33511,60,
280,33513,57,
281,33525,70,
282,33527,69,
283,33534,48,
284,33538,58,
285,33542,47,
286,33543,62,
287,33544,60,
288,33545,56,
289,33547,66,
290,33549,72,
291,33558,63,
292,33559,64,
293,33563,51,
294,33565,48,
295,33566,52,
296,33567,46,
297,33569,61,
298,33570,62,
299,33572,64,
300,33578,55,
301,33579,55,
302,33584,51,
303,33585,57,
304,33592,46,
305,33598,52,
306,33602,50,
307,33603,54,
308,33604,42,
309,33605,54,
310,33606,76,
311,33607,57,
312,33609,57,
313,33610,58,
314,33611,61,
315,33612,56,
316,33613,56,
317,33614,66,
318,33617,54,
319,33619,50,
320,33624,74,
321,33625,61,
322,33626,68,
323,33629,64,
324,33634,64,
325,33635,68,
326,33647,51,
327,33701,61,
328,33702,63,
329,33703,62,
330,33704,58,
331,33705,56,
332,33706,68,
333,33707,65,
334,33708,60,
335,33709,58,
336,33710,63,
337,33711,71,
338,33712,54,
339,33713,56,
340,33714,54,
341,33755,56,
342,33756,65,
343,33759,54,
344,33760,47,
345,33761,58,
346,33763,50,
347,33764,56,
348,33765,62,
349,33770,55,
350,33771,66,
351,33772,57,
352,33773,51,
353,33774,63,
354,33776,58,
355,33777,57,
356,33778,64,
357,33781,60,
358,33782,58,
359,33801,57,
360,33803,67,
361,33805,75,
362,33809,59,
363,33810,55,
364,33811,58,
365,33813,56,
366,33815,55,
367,33820,58,
368,33823,57,
369,33830,56,
370,33837,52,
371,33838,56,
372,33839,60,
373,33841,52,
374,33843,58,
375,33844,56,
376,33846,62,
377,33850,56,
378,33853,51,
379,33859,58,
380,33860,56,
381,33868,54,
382,33880,56,
383,33881,60,
384,33884,55,
385,33897,50,
386,33901,68,
387,33905,56,
388,33908,43,
389,33909,69,
390,33912,60,
391,33913,61,
392,33914,69,
393,33916,48,
394,33919,89,
395,33971,60,
396,33975,57,
397,33982,52,
398,33991,61,
399,33993,58,
400,34104,84,
401,34114,59,
402,34116,38,
403,34135,55,
404,34142,54,
405,34145,67,
406,34202,66,
407,34205,75,
408,34208,58,
409,34209,66,
410,34211,58,
411,34221,50,
412,34232,60,
413,34233,63,
414,34234,61,
415,34235,49,
416,34236,56,
417,34238,61,
418,34240,63,
419,34241,62,
420,34243,53,
421,34275,54,
422,34285,56,
423,34286,55,
424,34287,56,
425,34288,53,
426,34289,62,
427,34291,59,
428,34292,62,
429,34293,65,
430,34472,58,
431,34478,46,
432,34601,48,
433,34608,74,
434,34610,58,
435,34614,62,
436,34638,63,
437,34639,65,
438,34652,55,
439,34653,56,
440,34654,64,
441,34655,67,
442,34668,53,
443,34669,40,
444,34677,57,
445,34683,66,
446,34684,59,
447,34685,73,
448,34688,72,
449,34689,59,
450,34691,58,
451,34695,62,
452,34698,58,
453,34711,71,
454,34714,52,
455,34741,65,
456,34744,57,
457,34746,60,
458,34758,56,
459,34759,55,
460,34761,58,
461,34769,68,
462,34771,54,
463,34772,51,
464,34785,60,
465,34786,62,
466,34787,63,
467,34947,54,
468,34953,57,
469,34981,58,
470,34982,64,
471,34983,59,
472,34984,59,
473,34986,61,
474,34987,62,
475,34997,65,
476,,53,
