geoid,name,B11002001,"B11002001, Error",B11002002,"B11002002, Error",B11002003,"B11002003, Error",B11002004,"B11002004, Error",B11002005,"B11002005, Error",B11002006,"B11002006, Error",B11002007,"B11002007, Error",B11002008,"B11002008, Error",B11002009,"B11002009, Error",B11002010,"B11002010, Error",B11002011,"B11002011, Error",B11002012,"B11002012, Error"
86000US33834,"33834",5854,586,5215,615,3697,633,3685,634,12,18,300,317,300,317,0,19,1218,461,1145,442,73,68,639,300
86000US33837,"33837",30572,1956,27100,2066,19247,1842,19188,1836,59,54,2121,719,1674,583,447,196,5732,1445,5376,1331,356,193,3472,600
86000US33838,"33838",4358,103,4005,190,1654,481,1654,481,0,14,48,84,48,84,0,14,2303,490,2188,426,115,110,353,170
86000US33839,"33839",3356,517,2864,521,1883,508,1860,505,23,27,303,189,283,185,20,18,678,252,629,255,49,37,492,161
86000US33841,"33841",8858,411,7514,413,5503,577,5463,575,40,37,648,390,612,387,36,24,1363,364,1324,351,39,35,1344,278
86000US33843,"33843",9655,530,8286,586,5953,775,5919,776,34,34,859,389,765,343,94,67,1474,348,1437,343,37,34,1369,288
86000US33844,"33844",36462,1361,31363,1511,19794,1767,19614,1730,180,159,2948,978,2613,859,335,178,8621,1398,8224,1307,397,193,5099,676
86000US33847,"33847",176,86,161,88,124,100,124,100,0,14,0,14,0,14,0,14,37,38,25,26,12,12,15,23
86000US33848,"33848",995,780,964,777,332,406,332,406,0,14,138,219,138,219,0,14,494,605,494,605,0,14,31,47
86000US33849,"33849",1171,433,941,368,740,358,740,358,0,14,201,230,188,225,13,20,0,14,0,14,0,14,230,323
86000US33850,"33850",8315,630,6825,694,4507,877,4441,848,66,88,638,413,618,406,20,31,1680,727,1570,669,110,128,1490,466
86000US33851,"33851",1153,260,1075,265,684,258,684,258,0,14,54,77,38,55,16,23,337,189,309,169,28,40,78,36
86000US33852,"33852",20655,1263,17326,1328,12836,1245,12744,1232,92,90,996,532,967,515,29,44,3494,1150,3019,839,475,407,3329,434
86000US33853,"33853",11436,833,9621,834,5536,902,5536,902,0,21,760,518,691,464,69,67,3325,933,3028,765,297,343,1815,318
86000US33854,"33854",294,137,126,128,126,128,126,128,0,14,0,14,0,14,0,14,0,14,0,14,0,14,168,75
86000US33855,"33855",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US33856,"33856",270,112,124,73,124,73,124,73,0,14,0,14,0,14,0,14,0,14,0,14,0,14,146,89
86000US33857,"33857",2377,466,1906,478,1708,513,1708,513,0,14,0,14,0,14,0,14,198,215,198,215,0,14,471,191
86000US33859,"33859",10538,1272,8544,1182,5164,660,5116,643,48,56,664,435,582,398,82,61,2716,1049,2389,949,327,246,1994,405
86000US33860,"33860",26869,1561,23233,1711,16118,1414,16091,1408,27,35,2249,1131,1882,1025,367,292,4866,1059,4400,974,466,196,3636,783
86000US33865,"33865",958,457,920,454,625,380,592,366,33,53,0,14,0,14,0,14,295,357,295,357,0,14,38,33
86000US33867,"33867",327,153,206,102,206,102,206,102,0,14,0,14,0,14,0,14,0,14,0,14,0,14,121,99
86000US33868,"33868",10463,812,9359,832,6898,716,6815,693,83,89,582,219,513,196,69,45,1879,681,1616,505,263,197,1104,209
86000US33870,"33870",21409,1357,17145,1384,10061,1177,9627,1093,434,230,2619,1007,2373,945,246,132,4465,962,3983,805,482,228,4264,439
86000US33872,"33872",15803,982,12697,1050,10778,993,10689,983,89,87,416,250,416,250,0,21,1503,577,1462,562,41,54,3106,405
86000US33873,"33873",13645,827,11856,870,7759,1005,7746,1006,13,21,1193,473,1082,424,111,92,2904,994,2869,995,35,37,1789,391
86000US33875,"33875",11509,957,9330,911,7678,1009,7678,1009,0,21,523,388,432,313,91,84,1129,475,1055,445,74,82,2179,550
86000US33876,"33876",4888,724,4076,724,3618,681,3618,681,0,14,54,85,54,85,0,14,404,267,335,226,69,61,812,256
86000US33877,"33877",618,741,618,741,204,321,204,321,0,14,0,14,0,14,0,14,414,673,414,673,0,14,0,14
86000US33880,"33880",40490,2354,33926,2411,20367,2060,20179,2008,188,130,3882,1199,3541,1102,341,157,9677,1783,8843,1595,834,343,6564,900
86000US33881,"33881",34219,1299,28485,1473,16642,1512,16531,1500,111,76,3611,1189,3263,1099,348,163,8232,1341,7746,1224,486,249,5734,616
86000US33884,"33884",31378,1496,27063,1487,19360,1451,19141,1424,219,124,1970,733,1782,628,188,135,5733,1063,5485,1011,248,131,4315,496
86000US33890,"33890",4773,652,4257,649,3368,645,3368,645,0,14,221,181,221,181,0,14,668,271,589,237,79,59,516,167
86000US33896,"33896",11654,1302,8973,1152,5689,876,5600,855,89,66,1559,638,1271,508,288,195,1725,699,1623,677,102,67,2681,509
86000US33897,"33897",22752,1857,19665,2060,14596,1855,14461,1819,135,121,1596,924,1501,910,95,83,3473,1005,3246,922,227,170,3087,830
86000US33898,"33898",16888,1592,14246,1579,9057,1077,8955,1067,102,95,1154,431,1105,418,49,36,4035,1134,3786,1094,249,143,2642,399
86000US33901,"33901",19539,1069,13905,1159,8248,1032,8222,1038,26,41,2011,750,1876,718,135,101,3646,765,3443,716,203,117,5634,501
86000US33903,"33903",22531,1245,16369,1321,12018,1237,11845,1228,173,123,1456,635,1260,542,196,142,2895,823,2747,792,148,80,6162,714
86000US33904,"33904",30941,1627,24326,1719,18264,1455,18020,1392,244,175,2008,615,1862,572,146,112,4054,908,3757,844,297,184,6615,579
86000US33905,"33905",36014,1756,30437,1730,19988,1796,19714,1746,274,196,2984,698,2713,628,271,135,7465,1389,6936,1329,529,171,5577,711
86000US33907,"33907",23852,1623,17179,1787,8948,1047,8922,1050,26,40,4351,1292,4082,1193,269,137,3880,1000,3793,989,87,49,6673,751
86000US33908,"33908",35620,1606,26373,1582,22639,1493,22400,1466,239,158,919,392,850,364,69,58,2815,765,2536,684,279,218,9247,706
86000US33909,"33909",31729,1764,28602,1736,20827,1563,20351,1599,476,318,2437,798,2104,659,333,225,5338,1271,5013,1207,325,172,3127,595
86000US33912,"33912",18514,1040,14981,1065,13159,944,13110,934,49,35,662,534,631,537,31,26,1160,405,1130,402,30,23,3533,415
86000US33913,"33913",24001,1215,20424,1265,17285,1246,17062,1225,223,192,1224,782,1046,648,178,184,1915,591,1749,534,166,104,3577,479
86000US33914,"33914",38281,1955,32654,2298,27326,2362,26823,2242,503,384,2024,986,1743,882,281,206,3304,829,3049,777,255,134,5627,808
86000US33916,"33916",24660,1501,19917,1532,9427,1500,9427,1500,0,25,2037,755,1875,712,162,111,8453,1235,8106,1185,347,157,4743,508
86000US33917,"33917",29927,1290,23176,1547,17262,1232,17070,1204,192,127,2038,702,1638,497,400,339,3876,1253,3598,1216,278,174,6751,730
86000US33919,"33919",30250,1243,22734,1416,16163,1080,16109,1067,54,74,2353,812,2067,710,286,208,4218,798,4052,751,166,123,7516,589
86000US33920,"33920",6132,636,5626,644,3931,487,3801,459,130,121,443,236,407,226,36,43,1252,471,1215,459,37,36,506,136
86000US33921,"33921",613,213,493,204,477,208,477,208,0,14,16,25,16,25,0,14,0,14,0,14,0,14,120,70
86000US33922,"33922",4108,580,3283,554,2356,382,2297,377,59,65,468,409,455,406,13,19,459,299,417,264,42,46,825,200
86000US33924,"33924",67,48,46,46,46,46,46,46,0,14,0,14,0,14,0,14,0,14,0,14,0,14,21,17
86000US33928,"33928",25041,619,20516,733,17983,852,17950,851,33,56,1141,589,1012,534,129,108,1392,521,1308,506,84,63,4525,527
86000US33930,"33930",930,482,840,504,397,349,397,349,0,14,0,14,0,14,0,14,443,352,430,342,13,23,90,99
86000US33931,"33931",10527,336,7507,470,6738,482,6686,485,52,47,178,233,178,233,0,21,591,284,591,284,0,21,3020,433
86000US33935,"33935",22519,1377,20179,1486,13370,1551,12966,1486,404,321,2089,674,1848,594,241,136,4720,1323,4339,1205,381,204,2340,451
86000US33936,"33936",24465,1615,20721,1743,11848,1415,11822,1407,26,39,2503,933,2073,739,430,246,6370,1295,5892,1207,478,188,3744,474
86000US33944,"33944",219,302,219,302,219,302,219,302,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US33945,"33945",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US33946,"33946",2104,379,1693,324,1571,299,1571,299,0,14,93,148,93,148,0,14,29,45,29,45,0,14,411,177
86000US33947,"33947",9096,675,7470,660,6245,651,6245,651,0,19,233,165,221,160,12,19,992,427,967,422,25,40,1626,312
86000US33948,"33948",16913,1022,14091,1021,10633,873,10552,871,81,54,1025,326,952,312,73,76,2433,634,2272,602,161,104,2822,452
86000US33950,"33950",23128,709,17851,848,15267,744,15205,749,62,62,693,291,671,283,22,27,1891,501,1879,497,12,16,5277,544
86000US33952,"33952",33108,1406,24961,1456,18663,1497,18459,1464,204,190,1795,603,1682,576,113,81,4503,809,4209,764,294,130,8147,770
86000US33953,"33953",6741,816,5614,823,4571,678,4452,656,119,131,315,220,308,217,7,13,728,449,626,389,102,127,1127,331
86000US33954,"33954",10452,1088,8744,1169,7644,1197,7413,1177,231,168,226,272,226,272,0,21,874,379,813,354,61,84,1708,519
86000US33955,"33955",9995,783,8447,819,6825,730,6747,707,78,109,388,286,375,277,13,23,1234,614,1154,598,80,97,1548,293
86000US33956,"33956",3489,411,2808,408,2231,349,2231,349,0,14,409,283,335,234,74,55,168,131,168,131,0,14,681,191
86000US33957,"33957",7304,28,6152,197,5225,331,5225,331,0,19,500,190,389,162,111,48,427,193,427,193,0,19,1152,197
86000US33960,"33960",672,183,543,188,401,119,401,119,0,14,27,39,10,14,17,26,115,127,115,127,0,14,129,55
86000US33965,"33965",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US33966,"33966",10054,989,8236,1011,6356,845,6251,810,105,101,436,304,389,289,47,78,1444,672,1444,672,0,21,1818,489
86000US33967,"33967",25114,1411,19828,1256,14643,1183,14599,1170,44,69,2101,739,1840,613,261,170,3084,862,2856,767,228,196,5286,763
86000US33971,"33971",27872,1555,25894,1651,16075,1308,15601,1205,474,234,2933,976,2463,824,470,250,6886,1345,6353,1194,533,247,1978,348
86000US33972,"33972",15495,1416,13952,1481,9191,1283,8928,1213,263,199,1833,912,1706,890,127,115,2928,922,2674,783,254,207,1543,354
86000US33973,"33973",17161,1295,16126,1427,7152,1228,7098,1209,54,93,2037,848,1755,769,282,154,6937,1166,6637,1121,300,177,1035,357
86000US33974,"33974",17741,1160,16218,1157,9086,765,8966,735,120,83,2034,586,1726,514,308,137,5098,932,4749,880,349,145,1523,385
86000US33976,"33976",18240,1267,17045,1402,10057,1249,9804,1230,253,204,2231,643,2014,618,217,102,4757,1118,4339,1023,418,185,1195,315
86000US33980,"33980",13047,1007,10121,1137,7355,1155,7355,1155,0,21,983,548,983,548,0,21,1783,588,1695,563,88,89,2926,414
86000US33981,"33981",11389,779,9516,873,7072,711,7053,709,19,30,700,422,580,346,120,126,1744,820,1505,651,239,227,1873,384
86000US33982,"33982",9626,815,8000,810,6362,774,6232,780,130,102,722,330,674,312,48,55,916,493,892,481,24,36,1626,384
86000US33983,"33983",14937,763,12832,826,10657,877,10604,869,53,75,410,356,345,287,65,73,1765,624,1691,608,74,69,2105,310
86000US33990,"33990",34420,1998,29889,2096,20349,2034,20287,2025,62,74,2073,884,1688,674,385,295,7467,1691,6943,1538,524,267,4531,672
86000US33991,"33991",22309,1638,19835,1765,14992,1569,14966,1565,26,30,1747,736,1483,628,264,172,3096,1056,2920,998,176,149,2474,434
86000US33993,"33993",27865,1968,25312,2087,18810,1679,18671,1722,139,202,3215,1222,2820,1084,395,195,3287,1069,2633,765,654,421,2553,479
86000US34101,"34101",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US34102,"34102",11370,519,8373,547,6822,496,6762,489,60,55,479,215,454,202,25,25,1072,319,1043,313,29,26,2997,371
86000US34103,"34103",13021,872,10347,965,9023,876,8978,865,45,51,569,337,509,299,60,55,755,267,748,267,7,12,2674,372
86000US34104,"34104",24485,1510,19575,1524,14102,1200,13993,1171,109,118,1959,821,1731,749,228,156,3514,934,3066,713,448,414,4910,478
86000US34105,"34105",17924,1326,13779,1412,11849,1134,11826,1135,23,28,270,180,238,162,32,31,1660,798,1409,597,251,238,4145,630
86000US34108,"34108",16436,765,12453,705,10764,652,10681,651,83,67,766,400,668,345,98,81,923,373,860,355,63,54,3983,516
