geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33521,"33521",115,73,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,115,73,4,8,10,16,23,29,38,38,0,14,28,35,12,15
86000US33523,"33523",4621,488,141,98,23,36,65,81,47,40,0,21,0,21,6,9,0,21,4480,477,827,199,531,151,662,188,394,130,533,176,821,198,712,150
86000US33525,"33525",4236,427,208,100,80,75,41,38,50,42,8,9,7,11,11,14,11,15,4028,411,897,169,480,173,419,141,504,133,555,149,396,126,777,174
86000US33527,"33527",3209,359,208,101,0,21,54,69,35,40,70,59,38,33,0,21,11,18,3001,362,407,160,241,121,454,189,446,115,353,152,437,121,663,164
86000US33534,"33534",4444,398,255,103,11,15,21,25,56,45,82,65,33,37,29,48,23,38,4189,414,673,220,519,173,594,197,455,163,833,243,556,166,559,150
86000US33538,"33538",711,164,90,68,0,14,0,14,55,56,0,14,0,14,35,34,0,14,621,157,88,51,72,77,72,52,63,46,156,73,59,47,111,62
86000US33540,"33540",1456,303,133,68,7,10,24,27,69,52,23,32,0,19,0,19,10,15,1323,306,165,94,175,138,268,136,135,81,135,76,163,75,282,93
86000US33541,"33541",3150,350,238,154,0,25,0,25,80,59,22,29,128,116,8,13,0,25,2912,388,268,103,433,168,577,173,247,112,365,134,479,160,543,138
86000US33542,"33542",3996,381,211,99,5,9,99,62,40,38,12,24,55,55,0,25,0,25,3785,378,550,194,452,177,576,187,536,138,402,124,473,151,796,195
86000US33543,"33543",7356,495,324,117,0,25,33,38,73,61,88,48,91,82,32,27,7,10,7032,493,1049,204,676,162,678,150,825,191,1262,190,1059,186,1483,226
86000US33544,"33544",6557,462,235,128,0,25,14,25,38,42,141,123,31,23,0,25,11,18,6322,451,593,177,626,185,593,196,878,242,1184,276,1197,260,1251,221
86000US33545,"33545",5378,416,219,72,0,21,12,19,84,49,64,45,48,44,0,21,11,17,5159,412,514,138,487,203,756,211,782,194,937,214,804,152,879,217
86000US33547,"33547",6665,394,166,83,0,25,0,25,9,15,48,45,66,48,43,46,0,25,6499,392,1157,227,464,120,498,166,642,164,949,195,1136,174,1653,205
86000US33548,"33548",1850,231,101,75,0,19,0,19,13,20,52,48,36,54,0,19,0,19,1749,232,200,76,300,135,153,77,171,113,216,81,245,88,464,122
86000US33549,"33549",3504,405,101,59,0,21,8,12,41,37,52,41,0,21,0,21,0,21,3403,393,365,126,375,156,483,196,434,123,558,145,464,148,724,159
86000US33556,"33556",4973,434,145,66,0,25,0,25,32,36,100,59,0,25,7,10,6,9,4828,431,904,247,469,173,228,113,603,161,476,137,836,187,1312,250
86000US33558,"33558",5520,397,227,100,0,25,0,25,20,33,104,70,82,65,21,23,0,25,5293,412,920,177,508,163,578,176,504,168,609,143,994,159,1180,190
86000US33559,"33559",5043,581,135,99,46,47,0,21,81,81,0,21,8,12,0,21,0,21,4908,605,349,144,1216,418,664,208,693,244,584,176,768,232,634,147
