geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
86000US32225,"32225",20210,478,13793,509,6417,504
86000US32226,"32226",5577,307,4842,333,735,219
86000US32227,"32227",413,62,5,8,408,62
86000US32228,"32228",0,14,0,14,0,14
86000US32233,"32233",9655,260,5619,352,4036,302
86000US32234,"32234",2253,254,1726,242,527,157
86000US32244,"32244",21504,670,12565,619,8939,807
86000US32246,"32246",20318,716,10688,612,9630,815
86000US32250,"32250",12380,453,8581,384,3799,384
86000US32254,"32254",4763,297,2383,239,2380,327
86000US32256,"32256",21443,629,8090,506,13353,581
86000US32257,"32257",15541,404,9678,348,5863,419
86000US32258,"32258",12802,571,8776,598,4026,565
86000US32259,"32259",16519,434,14246,450,2273,335
86000US32266,"32266",3048,215,2044,226,1004,179
86000US32277,"32277",12084,393,6155,363,5929,379
86000US32301,"32301",12813,440,3897,282,8916,434
86000US32303,"32303",20680,625,10548,522,10132,634
86000US32304,"32304",17635,638,2177,333,15458,612
86000US32305,"32305",7723,361,4724,328,2999,300
86000US32308,"32308",10321,411,5661,326,4660,426
86000US32309,"32309",12438,342,10002,361,2436,282
86000US32310,"32310",5621,375,2479,254,3142,310
86000US32311,"32311",8401,341,5299,356,3102,338
86000US32312,"32312",12544,450,10531,388,2013,280
86000US32317,"32317",5474,246,4874,238,600,191
86000US32320,"32320",1519,158,1024,151,495,125
86000US32321,"32321",1630,168,1209,166,421,134
86000US32322,"32322",1142,151,900,134,242,88
86000US32323,"32323",91,54,67,56,24,37
86000US32324,"32324",1757,278,1166,190,591,189
86000US32327,"32327",9578,386,7808,503,1770,391
86000US32328,"32328",1423,173,1111,157,312,103
86000US32330,"32330",229,85,131,69,98,43
86000US32331,"32331",1593,178,1280,164,313,94
86000US32332,"32332",473,119,293,84,180,93
86000US32333,"32333",4828,338,3818,291,1010,215
86000US32334,"32334",829,126,646,116,183,68
86000US32336,"32336",462,112,399,98,63,47
86000US32340,"32340",3885,294,2660,247,1225,219
86000US32343,"32343",1237,129,942,150,295,111
86000US32344,"32344",5047,252,3817,254,1230,189
86000US32346,"32346",924,187,748,184,176,98
86000US32347,"32347",2950,270,2400,231,550,219
86000US32348,"32348",3755,256,2789,276,966,195
86000US32350,"32350",629,143,515,132,114,94
86000US32351,"32351",6245,435,4290,340,1955,335
86000US32352,"32352",2380,289,1869,238,511,226
86000US32355,"32355",124,49,86,34,38,30
86000US32356,"32356",0,14,0,14,0,14
86000US32358,"32358",851,170,758,176,93,54
86000US32359,"32359",704,196,480,165,224,125
86000US32361,"32361",161,77,148,73,13,20
86000US32399,"32399",0,14,0,14,0,14
86000US32401,"32401",9333,480,4668,312,4665,407
86000US32403,"32403",641,84,0,14,641,84
86000US32404,"32404",14263,603,9810,465,4453,493
86000US32405,"32405",12846,537,7526,456,5320,454
86000US32407,"32407",4760,331,2526,262,2234,288
86000US32408,"32408",7970,396,5239,368,2731,335
86000US32409,"32409",3743,275,3156,255,587,207
86000US32410,"32410",499,71,371,67,128,42
86000US32413,"32413",6554,375,4881,325,1673,279
86000US32420,"32420",896,135,787,120,109,59
86000US32421,"32421",1605,186,1332,184,273,106
86000US32423,"32423",430,100,372,85,58,52
86000US32424,"32424",2177,250,1725,240,452,120
86000US32425,"32425",4692,257,3425,248,1267,185
86000US32426,"32426",319,67,275,58,44,32
86000US32427,"32427",464,93,345,78,119,62
86000US32428,"32428",5872,297,4559,285,1313,238
86000US32430,"32430",440,121,360,108,80,60
86000US32431,"32431",1733,164,1287,149,446,122
86000US32432,"32432",0,14,0,14,0,14
86000US32433,"32433",6395,411,4510,402,1885,327
86000US32435,"32435",2971,273,2166,275,805,178
86000US32437,"32437",330,94,216,82,114,63
86000US32438,"32438",1517,236,1383,226,134,78
86000US32439,"32439",3995,266,2872,220,1123,232
86000US32440,"32440",2102,183,1444,167,658,139
86000US32442,"32442",1486,208,1040,188,446,158
86000US32443,"32443",1229,146,981,137,248,96
86000US32444,"32444",8033,387,5882,371,2151,298
86000US32445,"32445",501,85,316,65,185,68
86000US32446,"32446",4016,305,2604,245,1412,236
86000US32447,"32447",0,14,0,14,0,14
86000US32448,"32448",3871,309,2445,306,1426,275
86000US32449,"32449",161,69,153,72,8,12
86000US32455,"32455",1641,213,1324,191,317,114
86000US32456,"32456",3339,233,2402,217,937,151
86000US32459,"32459",7224,526,5663,458,1561,379
86000US32460,"32460",1483,141,1094,144,389,122
86000US32461,"32461",25,27,25,27,0,14
86000US32462,"32462",1423,171,1111,167,312,117
86000US32463,"32463",88,35,34,22,54,30
86000US32464,"32464",1857,202,1682,188,175,81
86000US32465,"32465",2599,222,1983,223,616,201
86000US32466,"32466",1940,278,1665,270,275,151
86000US32501,"32501",4324,266,2105,229,2219,215
86000US32502,"32502",1535,180,837,123,698,163
86000US32503,"32503",12086,482,7475,427,4611,415
86000US32504,"32504",8950,396,5312,348,3638,371
86000US32505,"32505",11027,456,5199,407,5828,544
86000US32506,"32506",14210,494,8062,412,6148,486
86000US32507,"32507",12914,503,7514,497,5400,490
86000US32508,"32508",545,92,0,19,545,92
86000US32509,"32509",0,14,0,14,0,14
86000US32511,"32511",0,14,0,14,0,14
86000US32514,"32514",16570,542,8131,483,8439,564
86000US32526,"32526",14638,459,11258,464,3380,374
86000US32530,"32530",7,13,7,13,0,14
86000US32531,"32531",2206,244,1870,223,336,175
86000US32533,"32533",10755,347,9228,409,1527,289
86000US32534,"32534",6437,409,4479,322,1958,346
86000US32535,"32535",1837,159,1238,163,599,143
86000US32536,"32536",8466,503,5391,457,3075,457
86000US32539,"32539",9495,451,6747,468,2748,357
86000US32541,"32541",8174,291,5254,274,2920,236
86000US32542,"32542",738,135,0,14,738,135
86000US32544,"32544",304,123,0,14,304,123
86000US32547,"32547",14819,485,7134,401,7685,533
86000US32548,"32548",9643,371,5585,352,4058,285
86000US32550,"32550",3628,336,2594,273,1034,244
86000US32561,"32561",4203,232,3465,233,738,183
86000US32563,"32563",10208,378,7732,333,2476,348
86000US32564,"32564",1012,196,846,161,166,106
86000US32565,"32565",2072,154,1604,150,468,130
86000US32566,"32566",14632,529,11684,536,2948,517
86000US32567,"32567",1289,172,1038,153,251,79
86000US32568,"32568",1115,172,956,149,159,99
86000US32569,"32569",4873,239,3346,293,1527,234
86000US32570,"32570",11949,424,7981,445,3968,412
86000US32571,"32571",12753,430,10017,484,2736,428
86000US32577,"32577",1762,212,1511,191,251,98
86000US32578,"32578",12384,319,9429,397,2955,391
86000US32579,"32579",4349,160,2967,190,1382,163
86000US32580,"32580",1533,174,953,196,580,161
86000US32583,"32583",8843,427,6772,454,2071,344
